sample,r,q,variable,theory_sign,interpretation,h0,h0_lo68,h0_hi68,h0_lo90,h0_hi90,positive_horizons,negative_horizons,correct_sign_horizons,correct_sig68_horizons,correct_sig90_horizons,positive_sig68_horizons,positive_sig90_horizons,negative_sig68_horizons,negative_sig90_horizons,peak_abs_h,peak_abs_value
full,2,2,asset_ibov,-1,negative,-10.02441414645222,-19.79261023011982,-5.5583092845845705,-33.11981871316504,-4.270089977610095,0,7,7,7,7,0,0,7,7,6,-67.74787174749419
full,2,2,cambio_usd,NA,soft_channel,0.18666572576215149,0.12216481265207849,0.34655613047096545,0.09837890412843243,0.5594853084726545,7,0,NA,NA,NA,7,7,0,0,1,0.2433743076904847
full,2,2,yield_2y,1,positive,0.00934455558771579,0.00759874080664245,0.01396436647266714,0.00695268729852186,0.019656716675427,7,0,7,7,7,7,7,0,0,6,0.01125822221526246
full,2,2,yield_5y,1,positive,0.01105763639065656,0.00827545443886259,0.01858296819804842,0.00728858612460866,0.02853428099587721,7,0,7,7,7,7,7,0,0,6,0.01338657771766055
full,2,2,yield_6m,1,positive,0.005,0.005,0.005,0.005,0.005,7,0,7,7,7,7,7,0,0,6,0.00600265964975396
pre_covid,2,2,asset_ibov,-1,negative,-5.859616071074655,-10.108583235245222,-2.114409655071755,-14.193837328686008,-0.3173390934892746,0,7,7,7,7,0,0,7,7,6,-59.44699421331923
pre_covid,2,2,cambio_usd,NA,soft_channel,0.15363837365750332,0.09857981314421918,0.17258870115969238,0.07852561599650701,0.220986517527326,7,0,NA,NA,NA,7,7,0,0,4,0.24616639980539096
pre_covid,2,2,yield_2y,1,positive,0.00863824807265715,0.0067327735378118,0.0095451430949194,0.00605824913377347,0.01176885157433076,7,0,7,7,7,7,7,0,0,4,0.01280687824763998
pre_covid,2,2,yield_5y,1,positive,0.01085109069783521,0.00786076338678172,0.01292613481248285,0.00675744921582837,0.01688787228760886,7,0,7,7,7,7,7,0,0,4,0.01606881138568553
pre_covid,2,2,yield_6m,1,positive,0.005,0.005,0.005,0.005,0.005,7,0,7,7,7,7,7,0,0,4,0.00690169699343997
full,5,3,asset_ibov,-1,negative,-23.959811953763463,-40.483491634573575,-15.845735058962385,-64.20236244961538,-12.678190540851102,0,7,7,5,3,0,0,5,3,1,-30.77216687359961
full,5,3,cambio_usd,NA,soft_channel,0.5211776029519885,0.31469951581435074,0.9669120843859358,0.24431146271793328,1.6521013463939185,7,0,NA,NA,NA,7,7,0,0,1,0.7341824212850574
